feature,importance
sub_grade_ord,0.11855530731502069
loan_to_income,0.008281310122558217
int_rate,0.006956159864001954
loan_amnt,0.006834242696579418
home_ownership,0.006574666203648683
dti,0.0021596637604218262
open_acc,0.0020675404328279077
verification_status,0.0019739342491041255
pub_rec,0.0004864331258728205
purpose,0.0003563719538168364
delinq_2yrs,0.0002507546693662599
annual_inc,0.0002218018271002542
revol_util,0.00011772032157890689
emp_length_ord,7.733683313613238e-05
revol_credit,6.817372536518373e-05
term,0.0
emp_length,0.0
sub_grade,0.0
term_num,-0.0009173617696129011
